,benchmark,nodenum=300,iterations=300,threshold=0.8,per_NICN=0.6,per_NIC=0.6,LLM=1
284,,,-0.32770342467285557,,,,
285,,,-0.327726236145653,,,,
286,,,-0.3277322411734155,,,,
287,,,-0.3277435656228114,,,,
288,,,-0.32775089594518375,,,,
289,,,-0.32776259753224607,,,,
290,,,-0.32776097945184807,,,,
291,,,-0.32778978456313296,,,,
292,,,-0.3278359013303227,,,,
293,,,-0.32783665685715585,,,,
294,,,-0.32788892347892074,,,,
295,,,-0.3279102071897444,,,,
296,,,-0.32783617027013806,,,,
297,,,-0.3278697937589918,,,,
298,,,-0.32789006356254885,,,,
299,,,-0.3279074669555395,,,,
300,,,-0.32792412318522907,,,,
